editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Add Port to Door,12,ABPT,18781,18781,GetSparePairsService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Jobs,3,Digital IDP,27531,27531,getJobsByUid,10/23/2025
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Qualify to Terminal / Verify Assignments,8,ABPT,18781,18781,GetJobDetailsService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Qualify Terminal / True Test,9,LSBBT,14311,14311,getFiberTrueTestResults,
tm0828,Add,Mass Markets,Online,Mobility,1,Shop & Purchase,2,Order Plan/Device,1,Purchase Product,,Go to att.com,1,IDP-Upper Funnel Cloud,31548,31548,recommendationms,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,IVR Menu,2,ATT CCT AEP,26150,26150,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,"IVR ->> ATT CCT AEP
IVR ->> ATT CCT SAG
IVR ->> CCSF
IVR ->> CCT ATT IPCS
IVR ->> CSI - Customer Care: InquireUnifiedCustomerProfileByServiceLocation
IVR ->> ECO Suite: /api/integrations/subscribers/details
IVR ->> IDP - Customer Graph
IVR ->> ISAAC WFE: GET /restservices/eco-control/v1/integrations/subscribers/details
IVR->>ISAAC WFE: POST /restservices/csicustomercareprofile/v2/adapter
IVR - >> LS CRM
IVR->> Nimbus
IVR ->> OPUS-C
IVR->> ATT CCT APIGEE
IVR ->> DialogFlow
IVR ->> IDP-Chat VA ANDi
IVR->> PC-GCP BI",IVR Menu,2,ATT CCT Service Access Gateway,26215,26215,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,IVR Menu,2,CCT ATT IPCS,25363,25363,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,IVR Menu,2,ECO USP,34361,34361,,ISAAC WFE API
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,IVR Menu,2,LSBBT,14311,14311,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,"IVR ->> ATT CCT APIGEE
IVR ->> DialogFlow
IVR ->> IDP-Chat VA ANDi
IVR ->> PC-GCP BI",Retrieve Customer Info & Call Routing,3,ATT CCT APIGEE,30793,30793,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,Retrieve Customer Info & Call Routing,3,DialogFlow,31036,31036,,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,Retrieve Customer Info & Call Routing,3,IDP- Chat VA ANDi,30063,30063,,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,VIAVI ->> LSBBT : getFiberTrueTestResults,Test Light Levels,14,LSBBT,14311,14311,getFiberTrueTestResults,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Perform Final True Test,17,LSBBT,14311,14311,getFiberTrueTestResults,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Qualify to Terminal / Verify Assignments,8,ABPT,18781,18781,GetFiberAssistTicketldService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Add Port to Door,12,ABPT,18781,18781,GetDpuPortService,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Jobs,3,EDGE,19062,19062,GETDETAILS,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Select Job / View Comments,4,EDGE,19062,19062,GETDETAILS,
bb0063,Add,Mass Markets,Field,Broadband,2,Onboard & Activate,5,Setup & Activate,1,Install Consumer Broadband ,,Review Order w/Customer,7,EDGE,19062,19062,GETDETAILS,
bb0063,Add,Mass Markets,Care,Broadband,4,Service & Support,1,Report Issue,1,CallBack ATTGuarantee,,Retrieve Customer Info & Call Routing,3,PC-GCP BI,31445,31445,,
