ID,editor,action,lineOfBusiness component,channel component,product component,domain_sequence,domain component,sub_domain_sequence,subdomain component,business_flow_sequence,business_flow component,sequence_uml,Task component,task sequence Qualifier,application component,correlation_id Qualifier,FK_Data[Application].CORRELATION_ID,api,Date Updated Qualifier
71,bb0063,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,20182,CSI - Customer Care,/service=com.att.csi.m2e.InquireUnifiedCustomerProfileByServiceLocation/version=275.5.22/envContext=PROD/routeOffer=AW2P01,9/22/2025,,
72,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,3,IVR Menu + Retrieve Customer Info & Route Call,10593,ISAAC WFE,POST /restservices/csicustomercareprofile/v2/adapter,10/9/2025,,
73,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,4,Integrate Telephony,20813,ATT CCTP ICM GEN ADAPTER FRAME,AssociateVhtGenesysInteraction,,,
74,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,4,Integrate Telephony,9367,ATT CCTP CTI FRAME,EgCtiRoute,,,
75,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,4,Integrate Telephony,20813,ATT CCTP ICM GEN ADAPTER FRAME,AssociateVhtInteraction,,,
76,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,4,Integrate Telephony,20813,ATT CCTP ICM GEN ADAPTER FRAME,AssociateVhtSingleCtiInteraction,,,
77,ac412t,Delete,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,5,Handoff to Agent from IVR,10056,LS CRM,createInteraction,BB Only,,
78,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,5,Handoff to Agent from IVR,26959,ATT Coral Desktop,OpenCTI toolkit,,,
79,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,5,Handoff to Agent from IVR,26959,ATT Coral Desktop,publish,,,
80,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,5,Handoff to Agent from IVR,26959,ATT Coral Desktop,runApex,,,
81,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,5,Handoff to Agent from IVR,26959,ATT Coral Desktop,saveLog,,,
82,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,5,Handoff to Agent from IVR,30685,CCSF,,POG no API,,
83,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,6,Transcribe / Redact SPI,26967,SC-SPI,POST /spiweb/scspi/scspi/rest/v1//register,10/7/2025,,
84,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,6,Transcribe / Redact SPI,26967,SC-SPI,POST /spiweb/scspi/scspi/rest/v1//unregister,10/7/2025,,
85,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,6,Transcribe / Redact SPI,26959,ATT Coral Desktop,POST /spiweb/scspi/scspi/rest/v1//updatecall,10/7/2025,,
86,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,6,Transcribe / Redact SPI,28167,RAISR,,,,
87,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,6,Transcribe / Redact SPI,26630,Sonus TCCS,,,,
88,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,7,Record / Monitor Call,9248,ATT VERINT CQM,,,,
89,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,7,Record / Monitor Call,17611,Qfiniti Call Recording,,,,
90,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,7,Record / Monitor Call,28024,ECRMI,,No API perf data - topics & batch processes,,
91,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,22509,GRID-GDDN,/msapi/idgraph/idgraphuserregistrationms/v1/orchestration/wireless,,,
92,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,26224,Halo.E AM,/attAAPI/adauthenticate,9/22/2025,,
93,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,8841,MPSYS,POST /upao/v1/wireless,9/22/2025,,
94,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,32765,IDP-IDM,/msAvertack-server/mitigation/authenticateDigital,10/13/2025,,
95,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,25114,Avertack,,IDP API,,
96,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,32765,IDP-IDM,,,,
97,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,31468,IDP-Customer Graph Cloud,/msapi/idgraph/idgraphuserregistrationms/v1/orchestration/wireless,,,
98,ac412t,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,8,Authenticate Customer,30685,CCSF,,POG no API,,
99,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,31468,IDP-Customer Graph Cloud,/msapi/cgraph/customergraphorchestrationms/cgsearch/v1/search,9/22/2025,,
100,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,22510,GRID-AC,,CSI API,,
101,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,24433,(FED) - US,inquireCollectionsData,,,
102,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,18293,"""CCM",Clarify,"CM""",CSIInquireUnifiedCustomerServiceProfileRequest/inquireUnifiedCustomerServiceProfileRequest,
103,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,30686,CCMULE,/ccapi/c360/att-services-customer-search-e/api/v1/individuals/search,9/22/2025,,
104,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,30686,CCMULE,/ccapi/retail/att-sf-products-offers-e/api/topOffers,9/23/2025,,
105,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,30686,CCMULE,/ccapi/c360/att-customer-crm-alerts-e/api/v1/alerts,10/22/2025,,
106,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,30686,CCMULE,/api/v2/customer/authz/status,10/22/2025,,
107,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,30686,CCMULE,att-order-e/api/v3/order,,,
108,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,30686,CCMULE,att-products-e/api/v3/products/search,,,
109,lg8383,Add,Mass Markets,Care,Mobility,2,Onboard & Activate,3,Setup & Activate,4,Activate Line,9,Lookup Customer,30686,CCMULE,att-recommendations-e/api/v2/scms/support/web-support/sf-support/offer-cards,,,
